ID;Name;Coordinates
3030772;Bout-du-Pont-de-Larn;43.50072, 2.40417
3033056;Bessières;43.79861, 1.60624
3034274;Beaulieu;43.72861, 4.02194
3036604;Arzens;43.19947, 2.20962
6545038;La Palme;42.97518, 2.99243
2968274;Villetelle;43.73194, 4.13666
2968566;Villeneuve-de-Rivière;43.12082, 0.66626
2968758;Villefranche-de-Lauragais;43.4004, 1.71697
2969401;Vic-en-Bigorre;43.38682, 0.05471
2973033;Teyran;43.68528, 3.92889
2974699;Sévérac-le-Château;44.32196, 3.07123
2978627;Saint-Mamert-du-Gard;43.88761, 4.18876
2980003;Saint-Geniès-de-Comolas;44.06471, 4.72207
2980004;Saint-Geniès-Bellevue;43.68342, 1.4857
2981433;Saint-Bauzille-de-Putois;43.89551, 3.73618
2983833;Revel;43.4589, 2.00437
2986001;Portel-des-Corbières;43.05, 2.91667
2992102;Montréjeau;43.08579, 0.56839
2993088;Montaigu-de-Quercy;44.3397, 1.01793
2994043;Mèze;43.42747, 3.60505
2994979;Mauvezin;43.73034, 0.87784
2997395;Lourdes;43.09461, -0.04611
3004381;Lectoure;43.93431, 0.62116
3005979;Laurens;43.52263, 3.19654
3006699;Laroque-d'Olmes;42.97033, 1.87098
3010619;La Canourgue;44.43252, 3.21439
3010720;Labruguière;43.53862, 2.2627
3019160;Fabrègues;43.55131, 3.77611
3022694;Cransac;44.52411, 2.2837
3023600;Corneilla-del-Vercol;42.62454, 2.95171
3024200;Combaillaux;43.67666, 3.76611
3033099;Bessan;43.36138, 3.4219
2968631;Villemoustaussou;43.25251, 2.36397
2973701;Sumène;43.98091, 3.71563
2974188;Sorgues;44.01023, 4.87381
2977327;Saint-Privat-des-Vieux;44.14435, 4.12885
2977925;Saint-Nazaire;44.19833, 4.62413
2978661;Saint-Lys;43.51436, 1.17745
2980554;Sainte-Geneviève-sur-Argence;44.80311, 2.7581
2980976;Saint-Cyprien-Plage;42.63229, 3.03333
2981204;Saint-Chaptes;43.97165, 4.27838
2981865;Saint-Alban-sur-Limagnole;44.78111, 3.3882
2985474;Preignan;43.71259, 0.62844
2990250;Nohic;43.89021, 1.43785
2991261;Moyrazès;44.34336, 2.4391
2992602;Montferrier-sur-Lez;43.66806, 3.85686
2993383;Monclar-de-Quercy;43.96643, 1.58457
2998409;Lignan-sur-Orb;43.38395, 3.16981
3003874;Léguevin;43.60028, 1.23236
3005915;Lauzerte;44.25577, 1.1378
3010558;La Cavalerie;44.00961, 3.1584
3012364;Jegun;43.7573, 0.45889
3015937;Giroussens;43.76221, 1.77556
3019843;Escalquens;43.51835, 1.56093
3021954;Cuxac-Cabardès;43.37081, 2.28324
3023883;Connaux;44.09127, 4.59374
3024759;Clapiers;43.65833, 3.88917
3028039;Cazouls-lès-Béziers;43.39236, 3.10114
3028341;Castelnau-Montratier;44.26872, 1.35302
3028723;Capdenac;44.58126, 2.06992
3033813;Belberaud;43.50768, 1.56907
3033913;Bédarieux;43.61602, 3.15892
3035970;Auterive;43.35079, 1.47464
2968564;Villeneuve-d'Olmes;42.90767, 1.82109
2969421;Vias;43.312, 3.4185
2977721;Saint-Pargoire;43.52847, 3.51972
2978199;Saint-Mathieu-de-Tréviers;43.76862, 3.85773
2979244;Saint-Jean-du-Gard;44.10505, 3.88584
2979933;Saint-Georges-de-Luzençon;44.06476, 2.98545
2983582;Rieux-Minervois;43.28221, 2.58691
2984037;Remoulins;43.93965, 4.56602
2987082;Pinsaguel;43.5104, 1.38831
2987936;Pérols;43.5647, 3.95034
2988251;Pechbonnieu;43.70403, 1.46654
2989253;Ornaisons;43.18093, 2.83724
2992153;Montpeyroux;43.69565, 3.50532
2993166;Montady;43.33539, 3.12725
2995990;Marciac;43.52404, 0.16102
2996823;Magalas;43.47158, 3.22249
2997116;Lunel;43.67778, 4.13611
2998264;Limoux;43.05487, 2.22173
2999976;Lespinasse;43.71206, 1.38462
3005943;Lautrec;43.7062, 2.13834
3007715;Langlade;43.80472, 4.24964
3008362;Lamagistère;44.12498, 0.82353
3009315;La Fouillade;44.23121, 2.04158
3011245;Labastidette;43.46106, 1.24586
3016824;Gaillac;43.9016, 1.89686
3026987;Chanac;44.46623, 3.34301
3029286;Cabrières;43.90445, 4.47189
3030485;Brax;43.61793, 1.23957
3034446;Bazet;43.29081, 0.07146
3035295;Baixas;42.75005, 2.80911
3035396;Bagnols-sur-Cèze;44.16259, 4.61974
3035418;Bagnères-de-Bigorre;43.06497, 0.14876
2974195;Sorèze;43.45292, 2.06683
2978325;Saint-Martin-de-Valgalgues;44.16308, 4.08203
2978975;Saint-Lary-Soulan;42.81713, 0.32238
2980002;Saint-Geniès-de-Malgoirès;43.94562, 4.21563
2980364;Sainte-Radegonde;44.33794, 2.6269
2981303;Saint-Brès;43.66731, 4.0293
2981925;Saint-Affrique;43.95575, 2.88915
2985982;Portet-sur-Garonne;43.52317, 1.40511
2987409;Pia;42.74475, 2.92043
2987441;Pézenas;43.45997, 3.42258
2988670;Pamiers;43.1165, 1.61079
2990294;Noé;43.35378, 1.27423
2991040;Nailloux;43.35611, 1.62292
2992145;Montpezat-de-Quercy;44.23876, 1.47682
2992577;Montfrin;43.87624, 4.59266
2993013;Montarnaud;43.64909, 3.69833
2995054;Maureillas-las-Illas;42.49014, 2.80752
3003774;Le Houga;43.77487, -0.18061
3006056;Laudun-l'Ardoise;44.10482, 4.65728
3008321;Lamalou-les-Bains;43.59758, 3.07985
3008502;Lalbenque;44.33839, 1.5452
3009699;Lacrouzette;43.663, 2.3482
3011154;Labège;43.52935, 1.52999
3015412;Gragnague;43.68091, 1.58461
3015424;Grabels;43.648, 3.80144
3018103;Fonsorbes;43.539, 1.22882
3019717;Espalion;44.52237, 2.76265
3024239;Colombiers;43.31317, 3.13994
3028258;Castries;43.67972, 3.98222
3031240;Bouillargues;43.80013, 4.42753
3035093;Banyuls-dels-Aspres;42.56611, 2.86607
3035595;Ax-les-Thermes;42.72016, 1.83937
3037682;Anduze;44.055, 3.98495
2967812;Viviers-lès-Montagnes;43.55458, 2.17654
2971412;Uchaud;43.75725, 4.26948
2975018;Septfonds;44.17831, 1.61806
2977885;Saint-Nicolas-de-la-Grave;44.06412, 1.02252
2979095;Saint-Julien-de-Peyrolas;44.2882, 4.56487
2979394;Saint-Jean;43.66519, 1.50459
2980001;Saint-Geniès-des-Mourgues;43.6978, 4.0361
2984493;Ramonville-Saint-Agne;43.54618, 1.47491
2988756;Palaja;43.17288, 2.38787
2991118;Murviel-lès-Montpellier;43.60528, 3.7375
2992347;Montjoire;43.76899, 1.53362
3011249;Labastide-Saint-Sernin;43.73743, 1.46985
3011251;Labastide-Saint-Georges;43.69962, 1.84585
3016940;Frouzins;43.51482, 1.32523
